,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,OSP_ID,PM_DISTRICT_ID,BLOCKFACE_ID,METER_TYPE,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,ORIENTATION,LONGITUDE,LATITUDE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,Neighborhoods,Analysis Neighborhoods
0,818-01520,-,0,ON,0,2,818012,SS,-,818,BRANNAN ST,152,315,-122.38912979999999,37.7842902,,,31,8
1,561-03160,-,0,ON,0,2,561032,SS,-,561,MAIN ST,316,225,-122.39142859999998,37.788937700000005,,,30,8
2,418-02270,-,0,ON,0,2,418021,SS,Area 1,418,FOLSOM ST,227,135,-122.3925023,37.7887466,,,30,8
3,386-02170,-,0,ON,0,1,386021,SS,-,386,DRUMM ST,217,270,-122.3969971,37.7960467,,,108,8
4,328-02330,-,0,ON,0,1,328021,SS,Area 1,328,BEALE ST,233,45,-122.3932193,37.7892027,,,108,8
5,470-05040,-,0,ON,0,1,470052,SS,-,470,HOWARD ST,504,315,-122.3962652,37.788451,,,32,8
6,202-05790,-,0,ON,0,2,202051,SS,-,202,02ND ST,579,45,-122.3922922,37.7821414,,,31,8
7,204-03230,-,0,ON,0,2,204031,SS,Area 1,204,04TH ST,323,45,-122.4005298,37.7816396,4th St: Unit 400 5th St:,4th St,32,34
8,330-05210,-,0,ON,0,2,330051,SS,-,330,BRANNAN ST,521,135,-122.3970078,37.7778196,,,32,34
9,330-03620,-,0,ON,0,2,330034,SS,-,330,BRANNAN ST,362,315,-122.39339609999999,37.7809196,,,31,8
10,204-05500,204-05006,50,ON,0,2,204052,MS,-,204,04TH ST,550,225,-122.3967591,37.778395,,,32,34
11,684-04199,684-04090,9,ON,0,14,684041,MS,-,684,TOWNSEND ST,419,135,-122.39766788,37.77480855,,,34,4
12,418-06100,-,0,ON,0,2,418062,SS,-,418,FOLSOM ST,610,315,-122.39716659999999,37.78529879999999,,,32,8
13,202-03290,-,0,ON,0,2,202031,SS,-,202,02ND ST,329,45,-122.3959081,37.7850294,,,30,8
